id,words,tags,polarity
0,aabang,VB,0
1,aabut,VB,0
2,aadal,VB,1
3,aadalan,VB,1
4,aadit,VB,-1
5,aagawon,VB,-1
6,aagi,VB,0
7,aaling,VB,0
8,aalinon,VB,-1
9,aalok,VB,1
10,aalop,JJ,-1
11,aanap,VB,-1
12,aani,VB,1
13,aapun,VB,0
14,aarado,VB,1
15,aasa,VB,0
16,aasikaso,VB,1
17,aasu,VB,0
18,aataman,VB,1
19,aatamanon,VB,1
20,aatendiran,VB,1
21,aawan,VB,1
22,aayat,VB,0
23,aayatan,VB,0
24,ababang,VB,0
25,ababuw,JJ,1
26,abaka,NN,0
27,abala,VB,0
28,abang,VB,0
29,abaniko,NN,0
30,abante,VB,1
31,abay,VB,0
32,abayan,VB,0
33,abayon,VB,0
34,abilidad,JJ,1
35,abo,NN,0
36,abogado,NNP,0
37,abogasya,NNP,0
38,abokado,NN,0
39,abono,NN,1
40,abot,VB,0
41,abrelata,NN,0
42,abril,NN,0
43,abtan,VB,0
44,abuno,NN,1
45,abutan,VB,1
46,abutun,VB,0
47,adal,VB,1
48,adal,VB,0
49,adalan,VB,1
50,adalan,VB,1
51,adi,PRP$,0
52,ading,PRP$,0
53,adobo,NN,0
54,adto,PRP$,0
55,adtong,PRP$,0
56,adtu,PRP$,0
57,agawun,VB,-1
58,agda,VB,1
59,agi,VB,0
60,agila,NNP,0
61,agiw,NN,-1
62,agiyan,VB,0
63,agko,NN,1
64,agku,NN,1
65,agnow,JJ,-1
66,agnuw,JJ,-1
67,agnuwun,JJ,-1
68,agom,NN,0
69,agran,NN,0
70,agranan,NN,0
71,agum,NN,1
72,agyan,NN,0
73,ahensya,NN,1
74,akasya,NN,0
75,akbot,VB,0
76,aklat,NN,1
77,akma,NN,1
78,akong,PRP,0
79,aksyon,VB,1
80,aksyun,VB,1
81,aktibidad,VB,1
82,aktibiti,VB,0
83,aktibo,VB,1
84,aktibong,VB,1
85,akting,VB,0
86,akuon,VB,0
87,alad,NN,0
88,alad,VB,0
89,alaga,VB,1
90,alagad,CC,0
91,alalayan,VB,1
92,alamat,NN,0
