Sentiment,Label
magmaan po a mga igin ninyo,positive
mahiwason ang rinconada,positive
simpleng pag uran baha nanaman sadi lriga.,negative
"uda karapatan mag reklamo lalo na kadaklan ka mga taga rinconada ta bayad kamo hanggang 3 taon sa halagang 2,500,",negative
maray kin su iba diri man apektado.,negative
dibale pirmi man lipat mga taga iriga kan lalo na kin agko pa kansert sana.,neutral
"paul tino tauno qnq nangana so ,gsto niniong mangana ,mauuda rw ah pag uran ska pag baha",negative
kulang ang cuidad sa drainage system.,negative
priority dapat yan kng lgu.,neutral
paul tino pag tsagaan nira amo sanayan sabay mig suffer,negative
paul tino maray sana ta sadi na kami albay as voters..,neutral
pero pwd man baga ton na mapakinabangan na tubig baha.,neutral
sabi baga tipunon para agko magamit sa panahon ng tag tuyot,neutral
"no hate po kita , pero uno raw po kin arug sana ko dati na bulan bulan nag papakalot sa mga kanal.",neutral
maging lesson na sana po kanato ngamin so bagyong kristine.,neutral
godbless and keep safe po kanato ngamin,positive
ka baha na tulos,negative
kolang sanayton sa linig,neutral
iton na mga kanal baka mga pono na sa basura kaya lang daling nag baha.,neutral
kin talgang babahaon a iriga si amang dios sana kan nakakaisi,neutral
maging handa sana permi tag uran na pati ingat po kita ngamin.,positive
congrats sa baao oda baha a.,positive
mig ngalas paman kamu kiton baha iton..,negative
kaya an ang baha dali tumaas tah ahh mga kanal barado sa maray,neutral
ang flowing kang tubig dere nag dadaloy sa maray paiyan sa kanal.,neutral
pangarwa buko sa kalikasan ana problema,negative
problema sa tao dere tatao mag apon sa tamang basurahan... kaya amo nayan dulot,negative
nabaha pala dyn...,neutral
rinconada ano na?,negative
oy arabe sari g upod an,neutral
pauno man baha tulos 4,negative
agko n nman bagyo dipayton inaasikaso.,negative
ulat n nman agko mapahamak,negative
dapat kaya a kanal pinaukaran ta nagooranoran na,negative
amo di sinabi ta nag gibo pa kaya sa bypass road lalo na paraot,negative
"grabi n to baha, barado mga drainage gaud",negative
ono kaya problima dugay na ana salog pero baha na sa centro.,negative
uno na raw po nangyari kiton iriga ta dati po diri man san binabaha maski po lang kusog ka uran..,negative
tinitipon ana tubig sabi ni marcos ta gagamiton sa uma ...sabi baga virgil manaog,neutral
uda na tiga eton pgbbgo hehehe,negative
"kaya man palan natuturog kita, pati sa pangiturugan uda uda a kuryente",negative
irakman uban na dipa naaanap tibaad daman nangyaring,negative
"surang n baga kang casureco 3 an mas lamang ang brown out kysa power ,",negative
"kidlat pa sana asahn n long brown out,",negative
palpak ang serbisyo kaan,negative
mercy garing haloy ng hilang kan casureco yan...,negative
ano kya yan kapatalan kan mga tga casureco or pictutuyo ninda?,negative
